Card ID,Card Name,List Name,Action Type,Date
691e60d93cfd27ae38dd9e7c,Jake,招募 Workshop討論,updateCard,2025-11-20T01:35:26.409Z
691e60d93cfd27ae38dd9e7c,Jake,招募 Workshop討論,updateCard,2025-11-20T01:32:47.367Z
691e60d93cfd27ae38dd9e7c,Jake,招募 Workshop討論,updateCard,2025-11-20T00:29:24.335Z
691e60d93cfd27ae38dd9e7c,Jake,招募 Workshop討論,createCard,2025-11-20T00:29:13.137Z
691d27a27f0bbe8f1873839e,面談時可說明「橫向發展」同樣能累積晉升力，而非只看職稱 / 對表現突出者設立「加速發展計畫」,,removeMemberFromCard,2025-11-19T16:06:33.848Z
691d27a27f0bbe8f1873839e,面談時可說明「橫向發展」同樣能累積晉升力，而非只看職稱 / 對表現突出者設立「加速發展計畫」,,removeMemberFromCard,2025-11-19T16:06:33.848Z
691d27a27f0bbe8f1873839e,面談時可說明「橫向發展」同樣能累積晉升力，而非只看職稱 / 對表現突出者設立「加速發展計畫」,,removeMemberFromCard,2025-11-19T16:06:33.847Z
691d27a27f0bbe8f18738394,104工作描述，加入吸引族群的文字(譬如：不常加班，穩定工時；穩定加班，薪資收入穩定),,removeMemberFromCard,2025-11-19T16:06:33.796Z
691d27a27f0bbe8f18738394,104工作描述，加入吸引族群的文字(譬如：不常加班，穩定工時；穩定加班，薪資收入穩定),,removeMemberFromCard,2025-11-19T16:06:33.787Z
691d27a27f0bbe8f1873839d,製作一個東西，主題是你不能不知道的明基材X件事，包含品牌 福利（新人特休） 等等，可以放在面試或是面試通知上,,removeMemberFromCard,2025-11-19T16:06:33.521Z
691d281ee4d2375c92631dc1,104 招募平台強化B2C品牌介紹，強化品牌吸引力,,removeMemberFromCard,2025-11-19T16:06:33.486Z
691d27a37f0bbe8f187386a8,招募之前，如何過濾追求重視薪資的族群？做類似104工作價值觀測驗？,,removeMemberFromCard,2025-11-19T16:06:32.755Z
691d27a37f0bbe8f187386a8,招募之前，如何過濾追求重視薪資的族群？做類似104工作價值觀測驗？,,removeMemberFromCard,2025-11-19T16:06:32.747Z
